Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000294,45,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000312,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000383,71,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000386,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000392,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000412,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000448,97,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000450,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000608,46,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000687,52,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,000962,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,001066,67,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,001342,60,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,001513,96,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,001595,39,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,001780,59,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,001794,68,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,101,10102005,ACTUARIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10102005.html,51,749,650,97,53,001804,48,,No seleccionado,,Consultar
