Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,000001,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,000059,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,000081,108,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,000138,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,000178,41,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,000456,32,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,000713,73,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,000960,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,001347,31,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,002006,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,002292,64,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10702005,INGENIERIA CIVIL,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10702005.html,104,715,637,66,105,002492,42,,No seleccionado,,Consultar
