Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000029,55,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000189,50,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000292,34,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000330,80,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000369,68,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000380,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000385,46,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000477,72,S,Seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000481,66,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000547,41,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000553,65,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000554,34,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000579,54,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000585,56,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000595,35,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000616,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000619,64,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000633,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000642,46,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000693,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000699,64,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000716,25,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000747,38,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000757,60,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000775,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000805,28,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000806,42,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000825,36,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000832,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000833,73,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000871,68,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000887,55,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000916,29,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000926,39,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000950,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000976,46,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000981,80,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,000997,42,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001012,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001031,33,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001038,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001048,48,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001050,35,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001059,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001110,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001113,52,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001117,32,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001157,42,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001175,60,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001184,30,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001188,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001194,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001203,107,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001210,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001216,35,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001222,31,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001229,35,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001232,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001236,49,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001238,41,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001269,102,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001282,26,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001300,36,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001313,36,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001322,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001344,30,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001354,30,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,107,10704005,INGENIERIA CIVIL,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/10704005.html,142,935,822,68,152,001356,49,,No seleccionado,,Consultar
