Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,000357,77,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,000802,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,000991,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,001115,71,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,001234,55,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,001346,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,001956,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,002427,57,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,004078,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,004082,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,004330,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,004386,109,S,Seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,004768,28,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,005194,68,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,005419,76,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,005570,62,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,005651,68,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,006273,41,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,006448,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,006585,49,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11200115.html,22,103,86,75,23,006602,49,,No seleccionado,,Consultar
