Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,000436,78,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,001024,32,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,002891,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003602,23,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003636,34,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003660,28,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003689,48,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003708,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003741,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003779,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003794,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,003878,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,004696,27,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,004940,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,005182,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,005938,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,006165,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,006294,28,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,006348,86,S,Seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,006419,36,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,006433,67,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,006438,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,006511,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,006647,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007208,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007267,67,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007328,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007338,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007372,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007402,35,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007403,30,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007414,39,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007474,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007502,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007575,25,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007586,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007600,32,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007657,45,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007676,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007686,74,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007706,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007727,29,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007757,74,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007776,55,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007784,49,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007814,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007832,41,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007833,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007838,76,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007840,57,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007846,82,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007853,39,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007860,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007892,65,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007906,70,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007937,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007944,42,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007954,35,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,007964,36,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,008028,76,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,008033,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,008094,25,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,008121,32,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,008168,28,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,008193,59,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,008208,38,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,008244,64,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009736,60,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009774,54,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009797,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009810,62,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009815,34,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009856,30,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009871,32,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009889,31,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009925,72,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,009975,41,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,010011,52,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,010068,57,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,010096,61,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,010186,36,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,010194,46,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,010239,46,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,114,11401005,INGENIERIA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11401005.html,41,533,456,75,41,010286,41,,No seleccionado,,Consultar
