Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,001664,35,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003018,58,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003713,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003729,74,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003732,55,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003808,59,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003811,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003833,49,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003851,54,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,003858,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,004315,52,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,004900,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,005145,56,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,005243,52,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,005344,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,005753,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,006064,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007205,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007230,34,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007243,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007248,66,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007254,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007300,59,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007310,58,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007315,61,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007554,61,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11801005,INGENIERIA QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11801005.html,66,258,224,63,71,007558,71,S,Seleccionado,Cita para entregar documentación.,Consultar
