Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000151,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000169,73,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000325,50,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000326,66,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000483,91,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000495,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000501,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000519,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000527,38,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000538,33,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000544,32,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000564,49,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000572,74,S,Seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000601,58,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000631,57,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000662,63,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000688,45,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000709,65,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000720,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000735,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000740,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000744,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000746,82,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000788,57,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000823,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000844,45,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000875,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000881,41,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000902,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000908,29,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000935,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000951,52,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000974,59,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000980,49,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,000992,65,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001001,32,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001022,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001049,92,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001051,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001071,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001074,55,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001077,57,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001102,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001123,92,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001141,52,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001170,34,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001186,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001200,74,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001255,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001270,38,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001279,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001289,42,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001292,60,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001305,41,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001338,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001368,45,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001373,45,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001384,58,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001422,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001435,48,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001468,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001504,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001550,71,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001588,45,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001594,30,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001609,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001637,52,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001660,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001694,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001695,35,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11805005.html,108,467,424,67,115,001722,64,,No seleccionado,,Consultar
