Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,000135,77,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,000365,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,001182,33,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,002242,56,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,002413,56,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,003139,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,004022,83,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,004124,38,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,004131,71,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,004970,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,005620,71,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/11900055.html,32,136,123,72,34,005679,50,,No seleccionado,,Consultar
