Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000008,92,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000115,113,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000124,79,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000132,95,S,Seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000200,79,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000217,39,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000222,83,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000288,57,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000301,109,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000341,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000348,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000431,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000537,102,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000675,49,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,000900,108,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001013,45,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001284,83,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001295,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001328,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001558,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001572,85,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001579,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001597,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001623,102,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001743,98,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001744,49,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,001931,61,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,002034,70,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,002091,78,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12200035.html,121,405,333,88,122,002092,36,,No seleccionado,,Consultar
