Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,003313,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,006053,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,020756,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,025748,66,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,036437,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,036570,68,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,038141,66,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,038181,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,038186,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/12708005.html,28,29,26,46,19,038188,44,,No seleccionado,,Consultar
