Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000066,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000216,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000397,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000470,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000590,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000664,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000791,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000889,53,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,000921,29,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,001087,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,001374,51,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,001606,39,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,001646,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,001801,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,001811,33,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,002167,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,002574,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,002597,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,002894,48,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,003059,34,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,003668,93,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,003709,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,003733,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,003784,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,003791,57,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,003859,27,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,003862,47,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,004058,31,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,130,13001005,"ING. EN TELECOMUNICACIONES, SISTEMAS Y ELECTRONICA",FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13001005.html,90,487,403,59,97,004424,58,,No seleccionado,,Consultar
