Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,000083,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,004287,38,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,008295,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,011627,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,024519,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,027541,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,034498,89,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038010,60,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038011,80,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038020,43,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038024,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038030,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038037,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038042,90,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038049,37,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038052,71,S,Seleccionado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038053,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038056,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,131,13107005,GEOCIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13107005.html,38,39,30,47,21,038057,,N,No presentado,,Consultar
