Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,011625,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,019539,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,030309,77,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,033883,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,034465,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,037987,33,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,038001,44,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,038002,40,,No seleccionado,,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,038004,110,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,038005,,N,No presentado,,Consultar
2025,1,Licenciatura 2025,132,13207005,TECNOLOGIAS PARA LA INFORMACION EN CIENCIAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/1/13207005.html,41,67,59,45,45,038007,53,S,Seleccionado,Cita para entregar documentación.,Consultar
