Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,070239,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,070406,63,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,070508,52,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,070706,62,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,070978,73,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071102,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071360,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071443,95,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071473,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071567,63,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071641,51,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071665,46,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071666,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071683,57,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071787,43,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071804,37,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071813,96,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,071817,37,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,072294,36,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,073142,47,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,073181,38,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,073433,47,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,073882,38,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,075790,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,075845,80,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,077761,45,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,078699,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,079404,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,081526,62,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,082932,91,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,083122,75,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,083180,59,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,083718,60,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,083783,79,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,083797,60,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,083925,61,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,083980,67,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,083998,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084143,67,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084152,84,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084193,33,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084199,70,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084265,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084310,54,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084315,75,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084318,54,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084355,38,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084395,72,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084412,37,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084429,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084450,51,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084454,57,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084471,49,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084475,35,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084486,51,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084535,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084559,50,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084612,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084616,54,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,201,20103005,BIOLOGIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20103005.html,110,809,706,79,110,084620,97,S,Seleccionado,Cita para entregar documentación.,Consultar
