Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070010,115,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070028,118,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070035,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070040,71,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070076,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070097,78,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070113,45,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070124,77,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070132,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070145,58,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070151,49,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070164,101,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070167,108,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070198,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,207,20700165,MEDICINA VETERINARIA Y ZOOTECNIA,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20700165.html,85,4198,3523,104,88,070211,44,,No seleccionado,,Consultar
