Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070052,69,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070150,23,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070192,72,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070200,73,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070299,78,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070331,35,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070537,82,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070538,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070810,68,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,070949,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,207,20701005,MEDICINA VETERINARIA Y ZOOTECNIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20701005.html,115,2267,1997,89,119,071039,36,,No seleccionado,,Consultar
