Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,070278,91,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,070338,35,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,071028,32,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,071834,60,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,072009,33,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,072185,35,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,072255,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,072548,75,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,072881,48,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,072938,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,074382,39,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,074455,33,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,075401,48,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,075888,35,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,076387,39,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,076443,36,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,076927,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,077104,52,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,077259,31,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,077289,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,077951,41,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,078110,78,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,078174,71,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,078637,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,078942,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,079161,44,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,079475,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,079909,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,080728,43,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,081795,41,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,081863,44,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,082318,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,083022,44,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,083753,71,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084020,72,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084118,39,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084331,42,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084459,84,S,Seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084537,34,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084682,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084833,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084839,42,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,084931,44,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,085023,79,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,085053,32,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,085105,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,085325,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,209,20903005,OPTOMETRIA,FES IZTACALA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/20903005.html,37,337,301,77,37,085479,66,,No seleccionado,,Consultar
