Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070018,25,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070172,60,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070189,59,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070235,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070247,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070296,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070390,72,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070392,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070439,71,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070492,108,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070528,50,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070549,65,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070581,67,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070584,65,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070659,105,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070699,42,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070734,107,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,210,21000195,PSICOLOGIA,FACULTAD DE PSICOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21000195.html,80,4603,3863,107,80,070736,101,,No seleccionado,,Consultar
