Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,070079,33,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,070234,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,070420,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,070558,28,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,070757,32,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,070938,83,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,071030,65,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,071138,81,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,071141,97,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21305005.html,55,1499,1340,102,55,071377,49,,No seleccionado,,Consultar
