Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,071738,41,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,072534,41,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,073967,39,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,074548,52,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,074722,46,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,075737,41,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,076344,70,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,077550,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,078781,79,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,080302,35,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,080821,54,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21401005.html,60,249,219,59,61,080887,48,,No seleccionado,,Consultar
