Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,090807,82,S,Seleccionado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,101726,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,113076,49,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,115440,43,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,125316,76,S,Seleccionado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,134631,73,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,142394,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,146844,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,147432,37,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,151166,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,151229,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,152428,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,152444,37,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,152451,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,152458,37,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,152459,37,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,152474,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,152483,49,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,216,21608005,CIENCIAS AMBIENTALES,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21608005.html,50,48,36,45,22,152493,45,S,Seleccionado,Cita para entregar documentación.,Consultar
