Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,070257,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,070590,83,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,070892,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,071462,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,074133,37,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,077869,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,082757,58,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,088707,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,094347,31,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,094594,36,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,095809,101,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,102004,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,105855,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,108751,66,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,111275,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,111545,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,112397,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,116370,31,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,120211,57,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,125823,38,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,127697,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,130894,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,140329,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,140969,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,146944,83,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,150616,80,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152427,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152433,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152436,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152440,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152449,34,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152453,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152455,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152456,29,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152462,66,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152468,36,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152475,38,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152476,22,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152477,32,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152478,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152479,88,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,217,21708005,MANEJO SUSTENTABLE DE ZONAS COSTERAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21708005.html,40,62,43,45,21,152482,42,,No seleccionado,,Consultar
