Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,070057,83,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,070719,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,071291,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,071579,57,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,071602,56,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,071746,60,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,071799,39,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,073475,61,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,074096,23,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,074453,52,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,075495,69,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,076034,56,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,076408,58,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,077824,43,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,219,21901005,FARMACIA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/21901005.html,85,320,279,63,85,079098,53,,No seleccionado,,Consultar
