Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,093931,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,096808,41,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,105806,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,115361,52,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,124181,46,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,139750,95,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150766,40,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150783,46,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150785,68,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150812,71,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150853,54,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150872,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150927,38,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150937,53,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150949,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150971,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150978,42,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,150988,39,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,151005,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,151052,39,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,223,22306005,CIENCIAS AGROGENOMICAS,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22306005.html,17,85,66,62,18,151073,37,,No seleccionado,,Consultar
