Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,077888,41,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,114452,93,S,Seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,115083,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,130350,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,142168,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150606,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150607,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150631,57,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150633,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150642,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150645,47,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150652,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150654,38,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150671,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150679,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150682,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150683,35,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150692,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150693,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150697,34,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150701,36,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150709,42,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150714,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150716,39,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22507005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22507005.html,35,38,23,46,15,150725,,N,No presentado,,Consultar
