Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,071441,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,115137,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,129422,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,138847,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,147018,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,147130,91,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,147206,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,148448,35,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152442,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152443,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152466,76,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152471,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152473,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152495,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152497,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152505,,N,No presentado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152506,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152518,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152521,38,,No seleccionado,,Consultar
2025,2,Licenciatura 2025,225,22508005,ECOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/2/22508005.html,22,38,22,45,14,152529,41,,No seleccionado,,Consultar
