Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256776,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256777,44,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256778,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256781,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256784,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256785,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256788,32,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256789,47,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256791,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256793,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256796,40,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256797,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256799,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256800,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256809,35,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256810,77,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256812,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256814,37,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256815,35,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256816,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256818,76,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256820,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256821,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256826,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256829,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256830,41,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256831,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256833,27,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256834,83,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256836,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256839,61,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256840,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256844,42,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256845,78,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256846,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256847,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256849,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256850,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256851,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256853,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256854,43,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256856,40,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256857,26,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256858,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256860,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256862,30,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256863,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256864,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256865,83,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256866,31,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256867,60,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256870,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256871,92,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256878,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256883,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256888,38,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256889,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256890,39,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256891,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256892,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256894,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256895,44,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256898,49,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256901,35,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256902,32,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256904,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256906,79,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256907,91,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256909,37,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256911,35,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256914,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256915,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256917,43,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,301,30100025,ADMINISTRACION,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30100025.html,70,289,234,45,162,256918,78,S,Seleccionado,,Consultar
