Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256779,77,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256780,77,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256782,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256783,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256786,35,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256787,86,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256790,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256792,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256794,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,304,30400025,CONTADURIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30400025.html,70,269,222,45,152,256795,43,,No seleccionado,,Consultar
