Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200016,42,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200031,59,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200032,69,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200058,89,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200089,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200116,42,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200151,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200175,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200212,34,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,305,30502005,DERECHO,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30502005.html,199,2397,2091,71,265,200217,,N,No presentado,,Consultar
