Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200048,37,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200051,66,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200053,68,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200054,47,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200059,51,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200066,71,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200093,50,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200104,61,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200109,110,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,306,30600085,ECONOMIA,FACULTAD DE ECONOMÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30600085.html,475,2158,1856,76,500,200149,68,,No seleccionado,,Consultar
