Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,200347,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,201748,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,202350,34,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,202462,45,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,202869,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,202932,41,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,203657,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,203799,37,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,204041,59,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,309,30904005,PLANIF PARA EL DESARROLLO AGROPECUARIO,FES ARAGÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/30904005.html,97,131,111,45,61,204260,50,S,Seleccionado,Cita para entregar documentación.,Consultar
