Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,200144,94,S,Seleccionado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,200245,83,S,Seleccionado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,200339,71,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,200467,64,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,200515,56,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,201258,55,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,201601,34,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,202247,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,202295,36,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,311,31100045,SOCIOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31100045.html,66,260,218,73,68,202354,83,S,Seleccionado,Cita para entregar documentación.,Consultar
