Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,200241,70,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,200458,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,200954,38,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201207,49,S,Seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201236,31,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201461,29,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201658,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201742,37,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201778,38,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201830,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201841,42,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,201878,38,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,202169,37,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,202182,42,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,202284,36,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,202443,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,202726,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,202807,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203221,43,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203260,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203280,60,S,Seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203317,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203424,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203458,34,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203555,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203727,32,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203784,47,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203889,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,203956,61,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,204023,28,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,204072,35,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,204081,41,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,204134,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,318,31805005,DESARROLLO COMUNITARIO PARA EL ENVEJECIMIENTO,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/31805005.html,47,109,96,46,51,204323,64,S,Seleccionado,Cita para entregar documentación.,Consultar
