Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,200531,84,S,Seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,201128,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,201872,90,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,202983,27,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,203174,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,203498,37,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,203901,37,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,204375,36,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,204495,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,204674,36,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,205193,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,205615,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,207992,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,209317,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,209538,58,S,Seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,209812,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,210682,47,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,210846,76,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,212386,38,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,213269,36,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,214664,44,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,216664,36,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,217723,33,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,217845,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,217867,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,218204,27,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,219858,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,220142,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,220908,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,221832,45,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,223149,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,323,32306005,TURISMO Y DESARROLLO SOSTENIBLE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32306005.html,32,122,85,45,47,223642,51,S,Seleccionado,Cita para entregar documentación.,Consultar
