Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,216352,39,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258089,20,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258096,69,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258099,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258121,89,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258135,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258153,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258159,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258172,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258177,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258194,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258195,49,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258196,80,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258209,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258212,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258225,,N,No presentado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258228,42,,No seleccionado,,Consultar
2025,3,Licenciatura 2025,324,32408005,SOCIOLOGIA APLICADA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/3/32408005.html,25,27,14,49,10,258230,,N,No presentado,,Consultar
