Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,330023,47,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,330522,43,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,330524,73,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,330754,36,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,330773,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,330936,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,331213,40,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,331358,47,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,331645,84,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,402,40200105,BIBLIOTECOLOGIA Y ESTUDIOS DE LA INFORMACION,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40200105.html,55,118,108,45,68,331729,92,S,Seleccionado,Cita para entregar documentación.,Consultar
