Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,330872,68,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,331845,55,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,332240,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,332453,34,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,333429,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,334200,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,334317,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,334724,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,335467,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,407,40700135,EDUCACION MUSICAL,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40700135.html,28,51,35,45,21,335471,56,S,Seleccionado,Cita para entregar documentación.,Consultar
