Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330178,29,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330269,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330287,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330289,36,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330308,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330328,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330335,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330350,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330372,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,408,40802005,ENSEÑANZA DE INGLES,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/40802005.html,98,260,185,45,131,330394,53,S,Seleccionado,Cita para entregar documentación.,Consultar
