Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,330105,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,330290,57,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,330292,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,330380,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,330760,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,330978,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,330991,36,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331069,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331090,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331115,49,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331184,76,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331215,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331245,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331278,68,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331296,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331354,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331362,21,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331443,35,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331450,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331486,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331507,43,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,411,41102005,FILOSOFIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41102005.html,77,115,96,45,63,331523,42,,No seleccionado,,Consultar
