Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350416,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350417,47,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350418,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350419,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350420,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350421,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350422,59,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350423,57,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350424,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,412,41200025,HISTORIA,OAXACA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41200025.html,22,10,8,47,8,350425,50,S,Seleccionado,Cita para entregar documentación.,Consultar
