Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,330246,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,330325,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,330349,42,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,330383,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331003,71,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331044,41,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331052,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331133,66,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331293,82,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331303,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331309,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331402,29,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331406,41,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331464,42,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331488,39,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331519,35,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331526,55,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331535,61,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331538,62,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331556,59,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331601,39,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331606,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331653,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,412,41202005,HISTORIA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41202005.html,47,133,120,45,100,331674,57,S,Seleccionado,Cita para entregar documentación.,Consultar
