Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,332167,49,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,332344,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,333032,72,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,334001,91,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,335138,42,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,335600,42,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,336154,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,337171,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,338542,70,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,418,41800105,LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/41800105.html,23,28,24,47,18,338597,35,,No seleccionado,,Consultar
