Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,330902,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,330924,58,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,332334,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,335085,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,336078,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,336265,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,336395,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,336449,70,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,337264,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,337643,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,338565,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,339343,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,339496,61,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,340064,75,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,341226,37,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,422,42200135,PIANO,FACULTAD DE MÚSICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/42200135.html,33,28,18,51,15,341489,63,S,Seleccionado,Cita para entregar documentación.,Consultar
