Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,330965,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,333025,44,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,333768,57,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,334091,58,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,335779,47,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,338619,46,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,339098,38,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,343287,42,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,344906,58,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,346255,24,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,346941,37,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,430,43000105,LENGUA Y LITERATURAS MODERNAS (LETRAS PORTUGUESAS),FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43000105.html,19,12,12,44,7,350323,34,,No seleccionado,,Consultar
