Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,336164,33,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,336551,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,336564,59,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,338133,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,338973,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,339442,61,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,339670,70,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,342596,66,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,342947,64,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,347566,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,347824,62,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,347895,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,348097,39,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350285,58,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350434,58,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350461,61,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350464,57,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350467,60,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350469,74,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350470,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350506,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350633,55,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350722,70,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350740,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350746,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,433,43307005,HISTORIA DEL ARTE,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43307005.html,35,26,20,55,18,350879,77,S,Seleccionado,Cita para entregar documentación.,Consultar
