Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,330025,46,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,330056,35,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,330384,53,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,330445,32,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,330483,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,330690,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,330836,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,330989,85,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,331010,59,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,331112,28,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,331162,37,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,331171,39,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,331199,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,331624,37,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,331737,54,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,332020,57,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,332209,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,332441,52,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,332737,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,332757,33,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,333137,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,333559,38,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,333576,32,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,333777,68,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,334009,28,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,334299,41,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,334612,38,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,334815,29,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,334851,36,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,334861,45,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,335010,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,335244,32,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,335803,51,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,335812,37,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,336403,60,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,336549,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,336629,40,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,337190,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,337664,66,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,337845,29,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,337935,39,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,338474,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,338853,48,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,338912,49,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,338967,69,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,339164,43,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,339216,42,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,339245,58,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,339346,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,340142,37,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,340394,41,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,340732,40,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,340819,43,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,340997,45,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,341212,40,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,341243,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,341419,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,341640,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,342081,42,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,342095,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,342343,50,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,342659,34,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,342997,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,343323,41,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,343386,80,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,343645,37,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,343666,34,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,343820,56,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,343874,38,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,343917,82,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,434,43402055,ARTE Y DISEÑO,"PLANTEL TAXCO, GRO",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43402055.html,45,116,91,48,45,344562,,N,No presentado,,Consultar
