Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,330034,53,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,330232,52,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,330268,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,330693,50,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,330839,45,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,331230,55,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,331248,31,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,331337,40,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,331599,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,331622,41,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,331693,22,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,331923,95,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,331957,26,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,332070,58,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,332154,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,332194,49,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,332573,53,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,332727,36,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,332858,42,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,333117,53,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,333276,36,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,333309,64,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,333316,41,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,333468,63,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,333515,26,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,437,43700105,ADMINISTRACION DE ARCHIVOS Y GESTION DOCUMENTAL,FACULTAD DE FILOSOFÍA Y LETRAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43700105.html,15,95,81,55,16,333524,53,,No seleccionado,,Consultar
