Anio,Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330081,47,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330264,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330291,78,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330408,47,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330479,59,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330510,51,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330711,66,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330815,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,330940,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,331241,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332040,67,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332061,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332131,73,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332138,39,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332159,67,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332174,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332362,46,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332402,68,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332485,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332618,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,332694,96,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333145,44,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333304,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333351,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333511,38,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333622,65,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333664,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333707,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333722,46,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,333868,73,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334150,39,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334151,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334384,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334415,46,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334469,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334613,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334922,63,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334948,54,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,334972,102,S,Seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,335031,47,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,335047,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,335083,89,S,Seleccionado,Cita para entregar documentación.,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,335200,48,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,335350,34,,No seleccionado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,335457,,N,No presentado,,Consultar
2025,4,Licenciatura 2025,439,43900425,LINGÜISTICA APLICADA,"ESCUELA NACIONAL DE LENGUAS, LINGÜÍSTICA Y TRADUCCIÓN",Escolarizado,https://www.dgae.unam.mx/Licenciatura2025/resultados/4/43900425.html,34,143,75,55,34,335597,,N,No presentado,,Consultar
