Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000009,69,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000023,80,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000048,102,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000066,107,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000071,92,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000086,97,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000104,36,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000201,,C,Cancelado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000224,43,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000242,73,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000256,86,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000258,41,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000317,85,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000338,75,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000341,85,,No seleccionado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000365,,N,No presentado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000381,103,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000393,,C,Cancelado,,Consultar
1,Licenciatura 2026,102,10202005,ARQUITECTURA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10202005.html,86,1479,1266,99,110,000406,37,,No seleccionado,,Consultar
