Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,000468,46,,No seleccionado,,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,000726,88,,No seleccionado,,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,001148,37,,No seleccionado,,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,001223,45,,No seleccionado,,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,001275,58,,No seleccionado,,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,001325,51,,No seleccionado,,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,001416,,N,No presentado,,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,001461,64,,No seleccionado,,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,001679,102,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,103,10300015,ARQUITECTURA DE PAISAJE,FACULTAD DE ARQUITECTURA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/10300015.html,25,308,270,100,27,002130,,N,No presentado,,Consultar
