Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,000211,120,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,000414,86,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,002091,77,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,002420,100,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,002637,,N,No presentado,,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,003073,,C,Cancelado,,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,008933,33,,No seleccionado,,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,009573,104,S,Seleccionado,,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,012646,70,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,017186,71,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,017763,50,,No seleccionado,,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,018331,94,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,018851,90,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,110,11010005,INGENIERIA EN COMPUTACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11010005.html,45,137,115,70,65,020372,113,S,Seleccionado,Cita para entregar documentación.,Consultar
