Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,001080,75,,No seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,001707,65,,No seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,001876,103,S,Seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,002618,,N,No presentado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,003492,75,,No seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,003672,,N,No presentado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,003689,93,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,004321,78,,No seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,004456,98,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,004701,24,,No seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,004826,55,,No seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,006200,75,,No seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,006312,47,,No seleccionado,,Consultar
1,Licenciatura 2026,112,11200115,INGENIERIA GEOFISICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11200115.html,22,74,63,80,22,006436,100,S,Seleccionado,Cita para entregar documentación.,Consultar
