Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,000292,62,,No seleccionado,,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,000513,82,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,000526,54,,No seleccionado,,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,000557,93,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,000595,86,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,000710,77,,No seleccionado,,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,000729,66,,No seleccionado,,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,000829,58,,No seleccionado,,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,001347,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
1,Licenciatura 2026,118,11805005,INGENIERIA QUIMICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11805005.html,108,390,334,80,112,001381,60,,No seleccionado,,Consultar
