Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,000339,91,S,Seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,001510,63,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,001735,,N,No presentado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,001814,56,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,002087,,N,No presentado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,002298,33,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,002443,67,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,002471,101,S,Seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,002925,97,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,003860,43,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,003861,100,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,004063,93,S,Seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,004079,103,S,Seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,004369,72,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,004435,,C,Cancelado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,004498,,N,No presentado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,005585,112,S,Seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,005718,73,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,005766,80,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,006187,103,S,Seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,006626,45,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,007567,,N,No presentado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,007615,51,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,007697,115,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,008008,44,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,008852,61,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,009198,,N,No presentado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,009299,99,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,010275,46,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,010380,56,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,010788,115,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,010994,61,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,011258,,N,No presentado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,011320,68,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,011697,,N,No presentado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,012148,94,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,012454,93,S,Seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,012549,53,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,013419,48,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,014638,72,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,014909,,N,No presentado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,015376,51,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,015430,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,016974,42,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,017061,60,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,017316,60,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,017483,79,,No seleccionado,,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,018438,92,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,119,11900055,INGENIERIA QUIMICA METALURGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/11900055.html,32,98,81,86,33,018554,98,S,Seleccionado,,Consultar
