Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,000939,68,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,000982,59,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,002433,43,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,002809,68,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,002900,,C,Cancelado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,003481,,N,No presentado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,003684,56,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,004070,,N,No presentado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,004075,62,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,004611,51,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,005050,66,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,005285,65,,No seleccionado,,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,005442,91,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,120,12000115,INGENIERIA GEOMATICA,FACULTAD DE INGENIERÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12000115.html,26,85,76,87,26,005524,97,S,Seleccionado,,Consultar
