Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000054,113,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000150,,N,No presentado,,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000213,113,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000243,32,,No seleccionado,,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000396,,N,No presentado,,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000521,88,,No seleccionado,,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000643,78,,No seleccionado,,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000808,94,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000880,53,,No seleccionado,,Consultar
1,Licenciatura 2026,122,12200035,MATEMATICAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12200035.html,121,374,298,94,125,000931,99,S,Seleccionado,Cita para entregar documentación.,Consultar
