Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,001845,75,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,005060,70,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,005984,49,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,006311,111,S,Seleccionado,,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,011364,36,,No seleccionado,,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,013489,48,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,014647,,C,Cancelado,,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,019470,106,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,023525,,N,No presentado,,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,025578,101,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,126,12610005,TECNOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12610005.html,35,63,56,45,52,028651,106,S,Seleccionado,,Consultar
