Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,002220,,N,No presentado,,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,028101,99,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,030789,,N,No presentado,,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,031309,56,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,032056,,N,No presentado,,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,032844,,N,No presentado,,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,032905,63,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,033797,,N,No presentado,,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,034280,83,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,034354,47,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,034862,52,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,036075,67,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,036076,68,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,127,12708005,CIENCIAS DE LA TIERRA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12708005.html,28,14,8,47,8,036088,,N,No presentado,,Consultar
