Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,000168,68,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,000196,72,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,002103,,N,No presentado,,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,004191,113,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,005478,89,S,Seleccionado,,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,008018,76,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,008269,71,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,008428,52,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,009122,69,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,128,12800905,INGENIERIA EN ENERGIAS RENOVABLES,CENTRO DE INVESTIGACIÓN EN ENERGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/12800905.html,30,41,35,41,32,010892,,N,No presentado,,Consultar
