Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,000186,60,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,000260,115,S,Seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,000425,53,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,000876,,C,Cancelado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,000987,43,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,001068,91,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,001186,55,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,001292,105,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,001312,111,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,002262,,N,No presentado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,002409,81,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,002560,,N,No presentado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,002763,60,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,002931,,N,No presentado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,002953,58,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,003910,,N,No presentado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,004464,,N,No presentado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,004780,,C,Cancelado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,005178,105,S,Seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,006127,,N,No presentado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,006129,,N,No presentado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,006285,,N,No presentado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,006699,106,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,006901,56,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,006964,63,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,007196,91,,No seleccionado,,Consultar
1,Licenciatura 2026,136,13600035,MATEMATICAS APLICADAS,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/13600035.html,32,187,150,100,41,007221,70,,No seleccionado,,Consultar
