Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,000183,84,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,000208,76,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,003991,79,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,008978,71,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,009614,109,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,009802,111,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,012517,,,No seleccionado,Cita para aclarar situación escolar.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,017016,115,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,017326,,N,No presentado,,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,018235,96,S,Seleccionado,Cita para entregar documentación.,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,020078,,N,No presentado,,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,029809,,C,Cancelado,,Consultar
1,Licenciatura 2026,140,14010005,MATEMATICAS PARA EL DESARROLLO,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD JURIQUILLA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/1/14010005.html,35,40,32,40,31,029971,90,S,Seleccionado,Cita para entregar documentación.,Consultar
