Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070007,78,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070032,61,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070106,,N,No presentado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070222,101,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070246,85,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070390,78,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070397,98,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070738,83,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070753,80,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,070773,95,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,071137,43,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,071165,61,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20100035,BIOLOGIA,FACULTAD DE CIENCIAS,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20100035.html,130,1504,1249,106,156,071226,101,,No seleccionado,,Consultar
