Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,073083,78,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,086373,34,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,088954,,N,No presentado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,090821,73,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,091047,7,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,095111,73,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,095910,117,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,098558,,N,No presentado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,100409,,N,No presentado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,101608,,N,No presentado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,103616,43,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,103667,103,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,110150,74,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,111246,35,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,123713,114,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,127012,92,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,131091,84,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,131585,49,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,132211,48,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,134502,58,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,135343,63,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,135767,87,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,135771,66,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,136356,,N,No presentado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,136537,59,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,136587,,N,No presentado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,136635,99,S,Seleccionado,Cita para entregar documentación.,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,136814,49,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,136848,38,,No seleccionado,,Consultar
2,Licenciatura 2026,201,20108005,BIOLOGIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MÉRIDA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20108005.html,25,99,80,78,26,136882,79,S,Seleccionado,Cita para entregar documentación.,Consultar
