Area,Concurso,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados,Numero_comprobante,Aciertos,Acreditado,Estatus,Detalles,Diagnostico
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070044,47,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070086,106,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070097,47,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070104,101,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070130,111,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070137,,C,Cancelado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070202,76,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070233,44,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070263,90,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070289,42,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070348,85,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070354,85,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070395,103,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070427,91,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070434,56,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070440,99,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070463,95,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070507,34,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070512,28,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070544,110,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070620,,N,No presentado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070632,96,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070645,87,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070673,27,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070721,94,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070745,89,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070763,76,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070767,78,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070810,67,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070820,,N,No presentado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070843,41,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070853,,C,Cancelado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070868,107,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070885,75,,No seleccionado,,Consultar
2,Licenciatura 2026,202,20200145,CIRUJANO DENTISTA,FACULTAD DE ODONTOLOGÍA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados/2/20200145.html,115,3060,2590,112,166,070886,61,,No seleccionado,,Consultar
